GroupId,EnemyList,SpawnCountMin,SpawnCountMax,IntervalMin,IntervalMax,PointMode,PointId,AreaId,Formation,Param1,Param2,Param3,Param4,DirectionAngle,Distribution
101,1:100,4,6,0.4,0.7,0,Dong|Xi|Nan|Bei|DongBei|DongNan|XiBei|XiNan,,0,0,0,0,0,0,0
201,1:100,1,2,1.0,1.5,0,Bei,,0,0,0,0,0,0,0
202,1:100,2,3,0.8,1.2,0,Nan,,0,0,0,0,0,0,0
301,1:100,2,3,0.7,1.1,0,Xi,,0,0,0,0,0,0,0
302,1:100,2,3,0.7,1.1,0,Dong,,0,0,0,0,0,0,0
401,1:100,2,4,0.6,1.0,0,Bei,,0,0,0,0,0,0,0
402,1:100,2,4,0.6,1.0,0,Nan,,0,0,0,0,0,0,0
403,1:100,2,4,0.6,1.0,0,Xi,,0,0,0,0,0,0,0
404,1:100,2,4,0.6,1.0,0,Dong,,0,0,0,0,0,0,0
501,1:100,2,3,0.8,1.2,0,Xi,,0,0,0,0,0,0,0
502,1:100,3,5,0.4,0.7,0,Dong,,0,0,0,0,0,0,0
