Id,Name,PreviewText,MinWave,MaxWave,Period,RandomWeight,EnemyPool,SpawnPointStrategy,SpawnRhythm,BudgetMultiplier,DurationMultiplier,PrepareTimeMultiplier
# ─── 新手教学 (1-5波) ───
1001,新手-杂兵,侦测到少量实习生正在靠近，请做好接待准备。,1,10,0,100,101,Single,Linear,0.8,0.8,1.0
1002,新手-远程,有一批喜欢扔废纸团的文案加入了战场。,2,15,0,80,101|103,Single,Linear,0.9,1.0,1.0

# ─── 常规波次 (无限重复) ───
2001,常规-混合,各部门员工开始集结。,5,9999,0,100,,All,Linear,1.0,1.0,1.0
2002,常规-突袭,检测到快速移动单位，请注意防守侧翼！,8,9999,0,60,108|101,Pincer,Burst,1.2,0.8,1.0
2003,常规-精英,发现高职级人员，可以争取一下。,10,9999,0,40,203|201,Single,Waves,1.5,1.2,1.2

# ─── 特殊/Boss波次 ───
5001,Boss战-甲方,警告：大客户即将到达现场！全员戒备！,20,9999,20,0,901|905,Random,Burst,1.0,2.0,2.0
5002,潮汐-人海,这是一场硬仗，撑住！,15,9999,10,0,101,All,Stream,3.0,1.5,1.5
